x,y,z
-288,-385,17053
-299,-389,17047
-297,-382,17037
-263,-398,17026
-300,-398,17050
-339,-374,17033
-306,-341,17050
-295,-361,17053
-299,-384,17082
-313,-404,17021
-317,-381,17047
-319,-379,17039
-314,-378,17029
-298,-395,17045
-321,-384,17048
-310,-383,17072
-296,-377,17028
-292,-370,17032
-293,-367,17027
-300,-393,17025
-286,-363,17059
-298,-361,17072
-297,-380,17058
-364,-400,17054
-312,-355,17029
-293,-399,17062
-306,-401,17048
-286,-396,17016
-293,-389,17014
-302,-408,17049
-261,-367,17035
-319,-374,17031
-314,-385,17026
-304,-373,17065
-303,-358,17056
-336,-342,17031
-340,-357,17075
-296,-373,17049
-325,-376,17056
-314,-402,17065
-288,-404,17049
-283,-393,17066
-280,-399,17018
-289,-396,17000
-319,-384,16998
-324,-389,17039
-301,-379,17088
-296,-382,17037
-299,-386,17021
-305,-363,17018
-280,-354,17014
-308,-375,17063
-323,-371,17004
-317,-396,17053
-322,-354,17075
-281,-389,17034
-272,-402,17025
-301,-405,17026
-279,-370,17030
-315,-392,17052
-300,-376,17041
-300,-383,17020
-289,-363,17056
-313,-352,17047
-338,-351,17070
-305,-397,17069
-289,-380,17043
-302,-385,17063
-297,-386,17041
-302,-370,17053
-308,-354,17057
-302,-380,17057
-311,-389,17050
-294,-395,17057
-296,-395,17045
-319,-399,17031
-290,-410,17038
-320,-401,17061
-327,-384,17056
-284,-392,17017
-299,-435,17040
-313,-383,17042
-304,-368,17018
-291,-398,17062
-294,-398,17054
-334,-368,17026
-301,-390,17044
-282,-412,17048
-294,-372,17074
-296,-359,17071
-292,-378,17075
-288,-351,17062
-290,-377,17049
-312,-372,17035
-316,-377,17085
-309,-400,17041
-323,-365,17007
-326,-429,17043
-293,-390,17075
-283,-363,17074
-313,-378,17033
-329,-371,17034
-320,-344,17052
-319,-352,17043
-286,-339,17027
-299,-359,17044
-347,-377,17106
-340,-405,17060
-300,-355,17003
-298,-402,17039
-280,-399,17071
-304,-353,17078
-312,-382,17044
-313,-392,17003
-258,-383,17026
-296,-411,17069
-320,-364,17030
-305,-368,17036
-288,-324,17062
-311,-346,17050
-318,-358,17044
-312,-382,17023
-284,-426,17029
-312,-414,17017
-308,-389,17068
-292,-410,17042
-321,-378,17048
-279,-392,17056
-286,-357,17047
-306,-370,17080
-287,-368,17029
-314,-385,17054
-298,-380,17050
-280,-407,17001
-295,-373,17036
-281,-374,17028
-299,-389,17034
-294,-390,17030
-306,-367,17058
-288,-356,17062
-300,-413,17041
-309,-395,17018
-297,-373,17016
-273,-377,17008
-294,-361,17073
-298,-359,17048
-322,-357,17041
-349,-372,17064
-315,-403,17087
-298,-399,17024
-321,-370,17045
-328,-368,17017
-295,-388,17031
-286,-387,17051
-313,-372,17053
-269,-372,17023
-307,-377,17027
-347,-368,17023
-323,-369,17038
-289,-369,17016
-322,-378,17031
-296,-386,17065
-304,-358,17050
-274,-364,17062
-258,-386,17033
-267,-390,17059
-305,-351,17027
-285,-395,17080
-272,-375,17044
-283,-385,17032
-288,-421,17069
-298,-396,17085
-309,-407,17041
-315,-411,17036
-289,-375,17048
-321,-368,17078
-326,-365,17084
-316,-356,17072
-309,-382,17038
-301,-414,17007
-309,-407,17049
-317,-364,17074
-306,-389,17024
-287,-413,17029
-312,-365,17031
-306,-393,17071
-318,-400,17022
-304,-375,17005
-314,-331,17037
-291,-376,17033
-320,-394,17020
-297,-390,17038
-296,-375,16997
-297,-390,17069
-294,-365,17071
-298,-408,17061
-297,-389,17041
-301,-390,17018
-304,-394,17052
-322,-372,17079
-293,-362,17021
-301,-370,17091
-304,-376,17062
-306,-347,17017
-281,-376,17071
-270,-392,17043
-257,-387,17037
-289,-385,17071
-292,-398,17018
-319,-386,17017
-350,-365,17051
-289,-381,17048
-293,-378,17030
-323,-404,16994
-318,-383,17040
-322,-391,17044
-332,-418,17026
-305,-400,17063
-278,-389,17051
-295,-367,17027
-288,-350,17028
-297,-410,17084
-304,-421,17056
-317,-385,17046
-306,-412,17050
-295,-414,17031
-301,-393,17039
-294,-372,17032
-324,-373,17037
-334,-380,17044
-315,-385,17006
-299,-390,17030
-270,-400,17034
-301,-380,17019
-290,-391,17011
-313,-384,17027
-335,-386,17014
-319,-395,17039
-302,-361,17049
-299,-391,17043
-301,-383,17049
-314,-405,17029
-289,-360,17011
-270,-370,17042
-303,-409,17009
-305,-371,17016
-331,-354,17044
-322,-368,17031
-317,-364,17005
-336,-354,17034
-312,-366,17054
-320,-361,17036
-306,-368,17023
-305,-402,17031
-309,-403,17018
-286,-414,17008
-292,-387,17007
-279,-368,17062
-288,-370,17032
-282,-386,17053
-290,-372,17045
-281,-350,17006
-318,-344,17023
-331,-377,17086
-303,-385,16991
-290,-406,17060
-293,-430,17049
-307,-371,17050
-329,-383,17034
-304,-372,17053
-316,-378,17074
-283,-369,17033
-268,-373,17050
-273,-393,17054
-263,-356,17012
-269,-344,17081
-275,-375,17009
-307,-389,17059
-268,-376,17109
-303,-387,17027
-299,-377,17074
-339,-383,17035
-324,-391,17046
-298,-397,17045
-257,-371,17042
-282,-365,17061
-305,-357,17023
-291,-378,17076
-292,-379,17059
-287,-365,17029
-331,-398,16992
-308,-365,17003
-288,-394,17032
-327,-390,17073
-311,-343,17055
-313,-370,17046
-290,-391,17050
-297,-387,17030
-316,-403,17060
-299,-398,17067
-278,-378,17053
-313,-368,17088
-302,-390,17004
-333,-351,16997
-298,-375,17059
-290,-414,17079
-309,-372,17081
-309,-385,17007
-307,-405,17060
-304,-340,17069
-324,-349,17033
-300,-372,17018
-311,-387,17059
-324,-395,17041
-344,-345,17047
-312,-364,17041
-297,-386,17050
-294,-375,17094
-309,-389,17063
-306,-404,17061
-298,-406,17044
-302,-355,17012
-308,-392,17072
-300,-388,17069
-308,-356,17050
-302,-370,17044
