x,y,z
3866,15850,-2096
3293,19369,-3667
3051,22348,-4421
3683,24219,-4199
4126,25405,-3494
5591,27806,-2718
4830,29192,-2865
2602,30368,-3662
1203,32767,-5499
1017,32767,-7555
566,32723,-9654
-474,32764,-11007
-1404,32767,-13005
-2232,32766,-15020
-2405,32767,-16355
-1388,32767,-16054
-135,32767,-14434
1225,32767,-12605
2064,32767,-10780
2485,32448,-9650
2425,30002,-8712
2248,26755,-7649
2063,23501,-6426
1657,20701,-5415
1087,18863,-4749
867,17597,-4524
1036,16393,-4142
1049,15193,-3521
798,13593,-3213
723,11712,-2504
395,10048,-1302
-280,8537,-995
-381,6676,-714
24,4793,290
372,2526,1488
792,-384,3493
1089,-2739,5430
903,-4163,6947
718,-4744,7768
137,-4564,7816
-803,-4329,7630
-1336,-4670,7602
-1731,-4776,7605
-1736,-4965,7957
-1310,-5413,8589
-1422,-5554,9023
-2029,-5410,8760
-2975,-4873,7718
-3750,-3654,6676
-4315,-1998,5451
-4588,-209,4432
-4336,1080,4016
-3294,1978,3528
-2521,3525,2693
-1934,4915,2029
-1116,5766,1369
-632,6644,950
-587,7984,665
-544,9145,-95
-44,10649,-1314
604,12745,-2682
1145,14359,-3531
1848,15133,-3539
2716,15026,-2574
2092,15690,-1928
609,15902,-2405
647,17868,-2806
948,19794,-3055
823,19648,-3777
1437,22281,-3411
3189,26355,-3858
3509,29181,-4861
2384,30880,-6080
1331,32271,-7557
630,32767,-9278
228,32767,-11220
-83,32754,-13044
-386,32767,-14450
-413,32767,-15175
-405,32767,-15497
-650,32767,-15280
-374,32767,-13958
775,32767,-11362
2141,32703,-8639
2804,30944,-6948
3013,27851,-5988
2692,25611,-5435
2100,24117,-5392
1521,22972,-5305
707,21908,-5277
262,20787,-5314
-337,20003,-5326
-922,19128,-5040
-890,17721,-4521
-1086,16371,-3815
-1382,14931,-3241
-1581,13378,-2722
-1778,11865,-2031
-1477,10319,-1259
-675,9101,-639
-533,8855,-157
-608,8484,331
-869,7431,912
-1843,6365,1141
-2655,5256,1454
-3066,3951,2079
-2948,2745,3096
-2243,1824,4151
-1686,1369,4801
-1587,1502,4893
-1883,1655,4660
-1725,1386,4730
-1179,1419,4525
-878,2002,4195
-452,2131,3864
-155,1758,3615
122,1784,3577
26,2249,3439
-29,2527,3189
32,2738,3305
144,3270,3644
-71,4355,3512
-949,5646,2836
-1782,6489,2194
-2125,6993,1772
-2163,6965,1924
-1532,6327,2096
-1122,5947,2078
-845,6518,2237
-1094,7823,2208
-1369,9138,1426
-1969,10869,252
-1621,11917,-381
-965,12081,-663
-616,11611,-618
375,11263,-377
810,13153,-542
707,15965,-1548
710,18741,-2859
929,21270,-3808
1855,23934,-4090
738,23187,-4537
-778,22966,-4549
-1872,23653,-4772
-2634,24323,-4912
-3216,24617,-4849
-3349,25173,-4794
-2869,26275,-5288
-2275,27888,-6445
-1682,30053,-7604
-1593,32216,-8686
-1787,32767,-9690
-1851,32767,-10109
-1605,32752,-9911
-1576,32767,-9536
-1352,32692,-8959
-946,31851,-8098
-862,30493,-7286
-718,28934,-6874
-568,27606,-6420
-107,26598,-5856
264,25978,-5787
242,25753,-6103
102,25551,-6312
120,24939,-6323
-18,24373,-6362
-268,23731,-6308
-116,22607,-5947
193,20899,-5128
654,19175,-4120
747,17608,-3398
714,16072,-2310
825,14305,-1170
629,12961,-291
26,12405,-37
-612,12228,-364
-933,12419,-1325
-408,13040,-2349
203,13416,-2395
826,12289,-1889
925,10078,-691
458,7828,668
-561,6014,1834
-1520,4789,2940
-2174,3983,3549
-2617,3668,3850
-2747,3565,3975
-2688,3833,3821
-2562,4134,3901
-2176,3856,4130
-1656,2996,4329
-1059,2066,4394
-542,1818,4347
-444,2155,3787
-451,3140,2927
-500,4472,2340
-307,4886,2475
-292,4555,2905
-715,4338,3161
-1625,4597,3127
-2689,5025,2728
-3249,5782,2260
-3075,6480,2196
-2469,6453,2150
-1567,6246,2355
-828,6040,2632
-601,6246,2783
-442,6667,3111
-564,7193,2970
-1839,8007,2189
-3004,8618,1270
-3005,9217,510
-2332,10289,-319
-2035,11265,-595
-751,12267,-551
434,13054,-811
1785,13458,-1035
2841,15321,-1598
3200,18247,-2701
3288,21009,-3177
1369,21711,-3615
-382,22837,-4080
-877,24843,-4536
-729,26872,-4790
-115,28245,-4946
342,29455,-5289
76,31247,-6511
-841,32767,-8455
-1765,32767,-10082
-2309,32739,-11213
-2396,32766,-12005
-2212,32767,-12120
-1552,32767,-11577
-680,32767,-10572
73,32767,-9595
606,32608,-8600
979,30905,-7923
1140,28848,-6993
1147,27113,-6273
1332,25186,-5711
1382,23379,-5218
1121,22137,-4911
743,21357,-4625
550,20765,-4410
548,20132,-4149
317,19413,-3935
-15,18519,-3826
-105,17573,-3515
228,16573,-2953
84,15991,-2553
-573,15174,-2589
-1051,14180,-2492
-974,13219,-2345
-538,12036,-1494
-530,10377,-595
-448,8746,612
-957,7668,1135
-1308,6869,1623
-1389,6492,1846
-1563,6306,1815
-1868,5975,2236
-1977,4783,3199
-1949,3008,4245
-2072,1815,4979
-2078,1427,5139
-2022,1597,5013
-1957,1960,4597
-2029,2555,3803
-1911,2944,3273
-1359,3014,3080
-682,2601,3406
-162,1970,3766
-80,1492,3980
119,1200,4201
100,1513,4285
-381,2467,4105
-920,3643,3870
-1220,4578,3590
-1677,5319,3367
-2290,5990,2757
-2684,6906,2132
-2721,7451,2049
-2472,7575,1858
-2124,8068,1496
-1237,8703,1547
-224,9339,1536
293,10096,1409
141,10783,1022
-883,11496,69
-2319,12346,-1446
-2572,14202,-2732
-2099,16118,-4047
-1032,17726,-4356
468,18737,-3940
1813,19617,-3504
1075,18602,-3566
-19,19501,-3520
-80,21849,-4292
184,24387,-4773
470,26089,-5233
935,27389,-5825
1652,28799,-5943
2010,29963,-6773
1867,31104,-8218
1249,32454,-9780
661,32767,-11688
631,32762,-12977
820,32758,-13704
1103,32767,-13574
1493,32767,-12479
1830,32764,-10839
1736,31792,-9280
1523,29503,-8198
1266,28216,-7668
1067,27291,-7553
1179,26017,-7063
1466,24517,-6453
1488,23415,-5884
1407,22858,-5554
1188,22487,-5638
803,21825,-5684
391,20900,-5549
87,20178,-5508
500,19603,-5460
1653,19171,-4988
2158,18568,-4610
2159,17582,-4370
1709,16175,-4201
859,14820,-4124
22,13650,-3763
-133,12078,-2835
-596,10405,-1743
-1514,8841,-1123
-2142,7463,-142
-2447,6479,902
-2943,5674,1525
-3209,4657,2166
-3004,3479,3062
-2726,2360,4020
-2531,1563,4614
-1977,1083,4780
-1664,1188,4633
-2052,1871,4622
-2401,1676,4730
-2509,811,4982
-2572,-150,5255
-2187,-885,5302
-1570,-1053,5150
-884,-645,4850
116,-32,4602
1169,600,4878
1358,1140,4883
525,1959,4199
-933,3065,3053
-1852,4527,2083
-2387,5933,1690
-2467,6735,1659
-2405,7347,1478
-2240,7623,1345
-1737,7369,1455
-1069,7251,1437
-506,7933,959
-620,9728,-9
-1138,11471,-1285
-1581,12510,-2085
-1268,13097,-2217
226,13228,-2021
2159,13072,-1844
3538,13958,-1858
3416,14569,-1860
2205,15199,-2514
1238,17707,-3860
-317,18588,-4830
-645,20679,-5070
704,22602,-5154
1651,24410,-5019
2109,25055,-4594
1757,25303,-4187
992,26224,-4307
563,27666,-5000
-334,30096,-6878
-1426,32725,-9118
-1956,32767,-10826
-2245,32727,-11988
-2496,32761,-13165
-2994,32767,-14232
-2937,32766,-14260
-2107,32767,-13303
-1126,32767,-11886
-281,32767,-10504
482,32194,-9297
1350,29915,-8301
2286,27534,-7276
2622,25494,-6586
2399,23946,-6452
1789,23054,-6518
1221,22212,-6605
1073,21166,-6295
1228,19841,-5693
1733,18643,-5067
2077,18292,-4586
1830,17976,-4228
1210,17136,-3642
381,15966,-3289
-417,14769,-2818
-1123,13576,-2274
-1691,12162,-1775
-2010,10669,-1139
-1916,9386,-265
-1264,8455,537
-641,8273,997
-952,8986,813
-1475,8945,987
-1678,7499,1690
-2592,5841,2259
-3203,4205,2809
-3076,2747,3552
-2797,1801,4331
-2598,998,4659
-2276,293,5003
-2136,-78,4843
-1907,-79,4282
-1373,170,4081
-705,124,4068
82,-582,4380
709,-1400,4796
1005,-1615,4965
833,-1073,4791
342,-184,4427
-225,537,3840
-971,1209,3730
-1924,1540,3613
-2793,2053,3286
-3575,3229,2957
-3633,4728,2583
-2790,6318,2258
-1921,7947,1793
-1202,9256,1271
-570,9721,906
-866,10334,596
-1887,11044,176
-2493,11646,-415
-2209,12533,-1111
-1372,13428,-1668
-124,14015,-2741
1388,15760,-3118
2095,17177,-3116
2322,18222,-3477
1011,19529,-4092
250,20328,-4919
880,22756,-5355
3007,25529,-5189
4149,27081,-5064
3436,28269,-5679
1710,29471,-6748
583,30596,-7972
-265,32184,-9273
-1267,32767,-11277
-2301,32767,-13700
-2730,32751,-15038
-1895,32767,-14922
-160,32767,-13681
967,32767,-11908
1356,32767,-10734
1377,32767,-10050
1635,32335,-9439
2090,30091,-8570
2395,27414,-7612
2389,24892,-6734
2098,22848,-6309
1405,21813,-6326
1066,21215,-5978
1125,20453,-5433
856,19375,-4818
539,17889,-4187
497,16310,-3252
633,14981,-2182
453,14002,-1362
-188,13323,-917
-773,12711,-348
-939,12103,-114
-625,12091,-217
-715,12801,-575
-957,12971,-520
-868,12160,-174
-927,10581,474
-1254,8581,1044
-1204,6840,1523
-1151,5460,2001
-948,4107,2541
-772,3130,2681
-804,2501,2665
-907,2226,2640
-462,1998,2789
208,1828,2778
704,1813,2722
1072,1372,2809
932,504,2980
524,-324,3236
-20,-769,3673
-414,-768,3978
-899,-20,4010
-1591,1115,3905
-2440,2003,3604
-3067,2726,3314
-3451,3555,3021
-3496,4692,2482
-3489,5518,2646
-2546,5370,3313
-1301,5462,3940
-990,6086,4154
-1893,6792,3709
-3037,7840,2571
-3805,9247,1221
-4212,10265,306
-3435,10695,253
-1941,10496,501
-134,9663,817
1112,8707,1154
