x,y,z
-11221,15503,-286
-7456,12998,-855
-2387,10278,-684
2661,7335,-306
7603,4980,176
13746,2135,1401
21181,-613,2971
29646,-1843,4788
32767,-1716,7103
32767,-1301,9145
32689,-1474,9964
32767,-2043,9658
32767,-2561,8601
32005,-2283,6755
28344,-1660,5251
24518,-909,4313
21621,493,2710
19033,3201,355
15598,6062,-1333
11424,8560,-2200
6482,11077,-3375
-1526,13643,-5432
-13595,16615,-7081
-25294,19890,-6681
-32768,23500,-6448
-32768,27244,-6105
-32624,30372,-3700
-32767,29116,-3854
-32768,26329,159
-32463,23705,3892
-29067,21458,5678
-23904,20415,6424
-18225,19884,5637
-13735,18076,3864
-9616,15306,2925
-4967,12702,2365
-545,10282,1939
3778,7920,1720
8743,5471,1966
14915,3193,1662
22252,2110,1742
29167,1558,2422
32767,1120,3910
32767,598,5890
32696,153,7171
32767,-444,7399
32546,-1327,6538
29383,-1393,5000
25055,-1150,3864
22092,-215,3106
19037,1202,2298
16008,3895,1333
12866,6925,-281
9387,9529,-1869
5656,12104,-3481
348,15503,-5784
-9181,19011,-7827
-20839,21427,-8097
-30655,23928,-6495
-32768,26181,-4528
-32748,27611,-2772
-32707,27988,-591
-32603,26865,2489
-29704,24947,4795
-26007,23866,5823
-22864,23209,5891
-19095,22805,4877
-15823,21140,3266
-12053,18239,2135
-8106,14969,2005
-3286,11700,2546
1938,8873,3375
7794,7188,3958
13135,6032,4211
17554,4836,4005
22521,3657,3624
28064,3260,3456
31732,3098,3590
32767,2851,3642
32590,2335,3360
30788,1514,2995
27733,950,2560
24373,1000,2200
20901,1614,1795
17807,3102,1007
15076,5840,-101
11507,8723,-1130
6960,11104,-1849
1660,14038,-3373
-5806,17204,-5207
-15414,19843,-6115
-26052,22817,-5919
-32768,26450,-5267
-32768,28758,-5319
-32654,28994,-4596
-32764,27305,-2184
-32556,25181,654
-28971,23407,3139
-22618,21961,6780
-18211,21020,7022
-15725,19744,4505
-12387,17884,3238
-8477,14614,2621
-4810,12105,2290
113,9788,2093
6263,7992,2176
11977,6324,2457
17617,3969,3115
22821,1632,4160
28001,137,5170
32658,-136,6066
32767,-121,7044
32700,-487,7667
32756,-1164,7179
32767,-1831,6223
32511,-2132,5398
29860,-1686,4749
26003,-674,4307
22762,875,3583
19679,3807,2228
15805,6879,536
10812,9524,-1618
4865,11819,-3628
-2493,14027,-5685
-11853,17108,-7697
-21630,20519,-8809
-29641,23644,-7778
-32768,26123,-5419
-32768,26003,-2752
-32711,25400,89
-32768,24839,2690
-32597,23522,5288
-30101,22594,7017
-26569,21976,5585
-22555,20965,3795
-18361,18519,2726
-13983,15344,2440
-9594,12123,3257
-5182,8910,4040
135,5901,4290
5729,3964,4425
10992,2158,4518
16804,102,4831
23892,-1263,5568
31265,-1312,6346
32767,-968,7834
32730,-1236,9482
32721,-2590,10138
32767,-3966,9833
32767,-3719,8811
32123,-2658,7241
28004,-1688,6185
22940,-488,5520
19103,1269,4220
15876,4312,1796
11970,6820,553
6720,8982,-1559
-909,12215,-5458
-12912,16548,-9679
-28058,21886,-12003
-32768,26825,-12418
-32768,28504,-11966
-32643,28645,-9525
-32768,26916,-5346
-32768,24447,-218
-31925,22632,3628
-28569,22477,5480
-23767,22648,6371
-19714,21691,4908
-17279,19129,2564
-14142,16345,1964
-11377,12727,2170
-7090,10197,2698
-1294,8197,3427
3746,5598,3626
8709,3247,3404
14962,1197,3406
22358,-530,4445
30397,-1544,6709
32767,-2303,9402
32767,-2577,11846
32704,-2805,13330
32767,-2772,13142
32753,-2727,11703
30068,-3057,9936
23360,-2834,8392
17721,-1618,7437
13032,451,5913
8837,3280,2909
5799,8175,-1113
2421,13643,-4969
-4107,18119,-7964
-13991,22095,-10095
-23956,25820,-10437
-32768,27884,-10271
-32768,29151,-9523
-32609,29086,-7373
-32455,28002,-4513
-29451,26489,-2225
-27112,25100,196
-25999,23971,2219
-23113,22416,3360
-17997,20080,3665
-13013,17017,3369
-8725,13453,3605
-4752,10047,4252
-843,7784,5167
3273,6878,5604
7624,6559,4906
11179,5951,3784
15056,4794,2875
20300,3711,2905
26245,2711,4043
30985,995,5842
32767,-324,8095
32767,-877,10430
32726,-1446,11851
32303,-905,11124
28081,381,8902
22576,1970,6522
17616,3948,4182
12761,6356,2058
7361,9279,215
1209,12166,-882
-5387,15475,-2025
-11758,19338,-3088
-17825,23140,-3686
-24274,26609,-4114
-29140,29845,-4347
-31776,29785,-3756
-31869,27751,-912
-29525,26018,2655
-25822,24523,5618
-23305,22569,6416
-20301,20900,5882
-16729,18970,5103
-13672,16627,4424
-9976,14124,4145
-4890,10903,4516
1098,7929,5431
6860,5052,6445
12384,2217,7674
17910,-209,9054
24060,-1409,10194
30567,-1282,10767
32767,-685,10809
32767,-759,10391
32710,-754,9136
32668,-588,7725
30360,97,6236
26020,1206,4540
22080,2950,2979
17922,5700,1229
12668,7812,153
6843,9366,-231
-1002,12037,-1643
-10487,16223,-4715
-19934,21316,-7734
-28526,26314,-9066
-32768,29268,-9019
-32768,29091,-7598
-32692,28033,-4246
-32358,25968,351
-28565,23087,4731
-22971,21146,9601
-19807,20209,7832
-15682,19585,5713
-12409,17738,3913
-10047,15741,2767
-7322,13186,2854
-3482,9684,3513
2854,6334,4108
10693,3289,4918
18115,1002,6085
25627,-92,7763
31904,-149,9325
32767,230,10267
32717,59,11078
32737,-184,11496
32728,56,10573
29928,362,8768
24280,1193,6894
19946,3016,4436
16433,5469,1927
12204,7877,366
7161,10116,-936
999,11868,-2431
-7487,14866,-4798
-18844,19129,-7679
-30318,23387,-9528
-32768,28239,-9921
-32730,28221,-8924
-32696,26460,-5888
-32498,25096,-2331
-28144,23716,2398
-22599,23275,7016
-21647,21736,5419
-18564,20553,4046
-15615,17896,3193
-12772,15050,2951
-9456,12893,3608
-3848,10451,4343
2158,8159,4589
7288,6488,4654
11515,4776,4618
16404,3089,5093
21912,1822,6270
27346,727,7957
31885,-525,10242
32767,-634,12208
32748,-127,13283
32736,90,12858
30787,381,10752
25387,1069,8537
20418,2417,6954
15817,4466,4615
11013,7373,1242
5313,11209,-2294
-1795,14411,-4508
-10226,16956,-6263
-19754,20609,-7394
-28920,24987,-8219
-32768,28679,-8061
-32768,29529,-6951
-32681,28693,-4734
-31279,27295,-1929
-26814,25308,419
-22639,23024,3854
-18860,21012,6393
-15850,18725,5231
-12096,16942,4708
-8892,14396,4153
-5429,11705,3785
-1513,8752,4279
3287,6058,4819
9174,3722,5182
15797,2057,5563
22736,1550,5933
28401,1781,6654
32525,1637,7957
32767,1131,9682
32716,538,11249
32695,124,12085
30109,-421,11110
24946,-310,9278
20597,906,7794
16871,2898,6239
12911,5425,4126
8798,8389,1460
3829,11673,-1178
-2945,14995,-3710
-13725,19323,-6936
-27276,24739,-9387
-32768,29139,-10495
-32768,30179,-10256
-32642,29839,-7677
-32768,27349,-5038
-31662,25099,-417
-27598,22998,3401
-23850,20606,6049
-19704,19605,7319
-16921,17711,4358
-12417,15225,3509
-8361,11826,3908
-4147,8689,4518
349,6055,5274
5654,3380,5699
12028,623,6609
19580,-1606,7782
27324,-2501,8806
32767,-2109,10036
32767,-1515,11760
32666,-1165,13045
32765,-884,13024
32422,-835,11737
27924,-937,9502
22146,273,6788
18356,2929,3543
14193,5769,584
8863,8671,-1280
1450,11833,-3420
-9163,15813,-6707
-22938,21523,-9379
-32768,26691,-9921
-32768,29985,-9730
-32592,31480,-8873
-32762,30854,-5914
-30958,28206,-2154
-26570,26068,1244
-22952,25109,3506
-20748,23104,4297
-17381,20205,4842
-13432,16995,3935
-9049,13088,3459
-3252,9235,4149
1933,5921,4565
7899,3217,5083
14550,409,5832
21319,-1768,7490
28068,-2699,9283
32767,-2503,10285
