x,y,z
-7717,30744,-7062
-10169,30124,-6490
-12462,29840,-6161
-14461,29312,-5509
-16341,28105,-4635
-17932,26203,-3837
-17947,24469,-3250
-15966,23843,-3071
-14317,22570,-3103
-13552,20701,-2542
-9094,21096,-2045
-7989,20178,-3360
-9797,18399,-3651
-9971,17661,-3191
-9258,17080,-2955
-8737,16344,-2306
-8289,15794,-1786
-8151,15339,-1183
-8114,14891,-578
-8172,14315,-440
-7748,14545,-793
-7122,14895,-758
-7964,14232,-292
-9415,12746,249
-9812,12004,1117
-10060,11694,1559
-10149,11340,1715
-9987,10426,1815
-9115,9889,1984
-8607,9079,1951
-8000,8087,2153
-6896,7210,2736
-5572,6340,3457
-4656,5709,3932
-4148,5484,4185
-4064,5277,4426
-3992,4964,4566
-3633,4577,4649
-3252,4090,4832
-3127,3614,4868
-2796,3466,4720
-2544,3625,4604
-2256,3919,4251
-1754,4030,4212
-1101,3871,4511
-530,3647,4617
671,3229,4997
2082,2783,5613
3244,2430,6178
4434,2311,6462
5400,2568,6172
6211,3177,5577
6548,4260,4812
6683,5097,3959
7066,5934,2796
7688,6673,2014
8134,6808,1785
8899,7014,1395
10705,8033,1275
12254,8610,1400
14009,8581,1832
15657,9221,1947
15878,10342,1596
15159,11519,840
14198,13152,338
13552,14662,295
13964,16524,-141
13909,17661,-876
13970,17627,-1147
14868,17745,-1321
15983,19582,-1451
15577,22271,-1797
13716,24403,-2658
11733,25618,-3211
10506,25892,-3045
9933,25568,-2768
10211,25307,-2422
10839,25886,-2078
9966,27381,-2032
7562,28459,-2218
5329,29782,-2613
2546,31090,-3687
-1035,31799,-4690
-3790,31994,-5394
-5684,31243,-5123
-7005,29777,-4326
-8008,28620,-3866
-8929,27724,-3638
-9605,26914,-3677
-10018,26441,-3696
-9655,25791,-3466
-8862,25014,-3851
-9001,23810,-4089
-8955,22698,-3735
-8549,21994,-3381
-8618,21217,-3327
-8680,20332,-2877
-8977,19388,-2377
-9524,18718,-1996
-10143,18143,-1618
-10694,17583,-1438
-11049,16919,-1088
-11147,16182,-306
-11198,15601,273
-11427,14997,460
-11546,14481,979
-11485,14049,1512
-11416,13589,1819
-11448,13206,1923
-11498,12548,1830
-11049,11747,1190
-9843,11331,451
-8619,10827,366
-7790,10143,587
-7791,9828,745
-8224,9631,960
-8015,9228,1288
-7423,8702,1690
-7199,7780,2275
-6752,6843,2684
-5501,6520,2897
-4183,6587,3102
-2993,6941,3130
-2143,7588,3060
-1887,8274,3038
-2384,8470,2810
-3092,8487,2828
-3586,8067,3029
-3709,7393,3444
-3060,6658,3957
-1751,5767,4571
-233,4882,5123
1632,4470,5413
4052,4447,5768
6160,4452,6434
6942,4646,6885
6210,4951,7002
4635,5214,6826
3431,5689,6359
3549,6102,5654
5190,6254,4964
7347,6086,5034
9500,6063,5169
11078,6326,5277
12014,7189,5453
11637,8387,5141
10028,9786,4279
7920,11274,3458
6029,12148,3465
5651,12112,3397
8644,11618,3699
11741,10925,4259
13526,10589,4336
